0:1:37:971,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 25.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:40:12,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 26.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:42:52,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 26.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:44:93,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 26.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:46:134,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 24.00, Humidity = 18.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:48:176,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 24.00, Humidity = 18.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:50:219,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 23.00, Humidity = 18.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:52:263,PM 1.0 : 76, PM 2.5 : 76, PM 10 : 76,Temperature = 23.00, Humidity = 18.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:54:306,PM 1.0 : 77, PM 2.5 : 77, PM 10 : 77,Temperature = 25.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:56:348,PM 1.0 : 79, PM 2.5 : 79, PM 10 : 79,Temperature = 24.00, Humidity = 18.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:58:392,PM 1.0 : 79, PM 2.5 : 79, PM 10 : 79,Temperature = 24.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:0:435,PM 1.0 : 79, PM 2.5 : 79, PM 10 : 79,Temperature = 22.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:2:479,PM 1.0 : 78, PM 2.5 : 78, PM 10 : 78,Temperature = 22.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:4:522,PM 1.0 : 78, PM 2.5 : 78, PM 10 : 78,Temperature = 22.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:6:566,PM 1.0 : 77, PM 2.5 : 77, PM 10 : 77,Temperature = 22.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:8:609,PM 1.0 : 76, PM 2.5 : 76, PM 10 : 76,Temperature = 24.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:10:653,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 23.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:12:696,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 22.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:14:738,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 22.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:16:781,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 21.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:18:825,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 23.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:20:869,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 23.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:22:913,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 23.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:24:956,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 21.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:27:0,PM 1.0 : 76, PM 2.5 : 76, PM 10 : 76,Temperature = 23.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:29:43,PM 1.0 : 76, PM 2.5 : 76, PM 10 : 76,Temperature = 23.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:31:87,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 21.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:33:129,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 22.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:35:173,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 23.00, Humidity = 22.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:37:216,PM 1.0 : 72, PM 2.5 : 72, PM 10 : 72,Temperature = 22.00, Humidity = 22.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:39:260,PM 1.0 : 72, PM 2.5 : 72, PM 10 : 72,Temperature = 20.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:41:303,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 20.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:43:350,PM 1.0 : 71, PM 2.5 : 71, PM 10 : 71,Temperature = 22.00, Humidity = 22.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:45:394,PM 1.0 : 69, PM 2.5 : 69, PM 10 : 69,Temperature = 21.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:47:437,PM 1.0 : 27, PM 2.5 : 28, PM 10 : 29,Temperature = 20.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:49:484,PM 1.0 : 29, PM 2.5 : 30, PM 10 : 31,Temperature = 22.00, Humidity = 23.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:51:528,PM 1.0 : 31, PM 2.5 : 32, PM 10 : 32,Temperature = 21.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:53:572,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 19.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
