time,Latitude,Longitude,PM2.5
0:7:5:404,35.238574,126.868232,27
0:7:7:452,35.238601,126.868148,27
0:7:9:500,35.238647,126.868057,27
0:7:11:548,35.23867,126.86795,28
0:7:13:596,35.238697,126.867835,28
0:7:15:645,35.238712,126.867713,30
0:7:17:693,35.238693,126.867607,30
0:7:19:742,35.238643,126.867553,29
0:7:21:790,35.238559,126.867515,29
0:7:23:838,35.238468,126.867462,29
0:7:25:887,35.238376,126.867401,29
0:7:27:935,35.238281,126.867355,29
0:7:29:984,35.238174,126.86734,29
0:7:32:32,35.238082,126.867408,28
0:7:34:81,35.238014,126.867523,28
0:7:36:130,35.237968,126.867652,28
0:7:38:179,35.237888,126.867889,29
0:7:40:228,35.237838,126.868057,29
0:7:42:276,35.237792,126.868202,29
0:7:44:324,35.237754,126.868324,29
0:7:46:372,35.237739,126.86837,29
0:7:48:420,35.237747,126.868377,30
0:7:50:469,35.237739,126.868408,31
0:7:52:517,35.237731,126.868415,31
0:7:54:566,35.237731,126.868415,47
0:7:56:615,35.237731,126.868415,47
0:7:58:664,35.237743,126.868469,48
0:8:0:713,35.237796,126.86853,46
0:8:2:762,35.237903,126.868591,46
0:8:4:811,35.238048,126.868659,46
0:8:6:860,35.238208,126.868751,46
0:8:8:908,35.238368,126.86882,47
0:8:10:957,35.23851,126.868896,46
0:8:13:6,35.238636,126.868965,46
0:8:15:56,35.238735,126.869033,46
0:8:17:105,35.238811,126.869094,46
0:8:19:154,35.238941,126.869148,46
0:8:21:203,35.23904,126.869125,46
0:8:23:251,35.239147,126.869049,46
0:8:25:300,35.239276,126.868934,46
0:8:27:350,35.239429,126.868827,46
0:8:29:398,35.239612,126.868736,46
0:8:31:446,35.239795,126.868659,47
0:8:33:494,35.239967,126.868583,47
0:8:35:543,35.240127,126.868522,47
0:8:37:592,35.240264,126.868461,46
0:8:39:641,35.240383,126.868431,46
0:8:41:689,35.240459,126.868431,45
0:8:43:739,35.24052,126.868453,45
